ANAL,Silicate.ANL,,,,,,,
RUN ,230113A.RUN,,,,,,,
DATE,1/13/2023,,,,,,,
TIME,10:08:04 AM,,,,,,,
OPER,BALINT,,,,,,,
COMM,NBay Longterm SI,,,,,,,
METH,,,,Silicate,,,Dilution,
53C,119,DSAMP,,92.066,28595,,2,0
54C,120,DSAMP,,93.76,29089,,2,0
54C,121,DSAMP,,93.095,28895,,2,0
55C,122,DSAMP,,94.576,29327,,2,0
55C,123,DSAMP,,94.134,29198,,2,0
56C,124,DSAMP,,90.677,28190,,2,0
56C,125,DSAMP,,90.015,27997,,2,0
57C,126,DSAMP,,90.447,28123,,2,0
57C,127,DSAMP,,90.252,28066,,2,0
58C,128,DSAMP,,90.674,28189,,2,0
58C,129,DSAMP,,90.43,28118,,2,0
59C,130,DSAMP,,141.483,43005,,2,0
59C,131,DSAMP,,141.206,42924,,2,0
60C,132,DSAMP,,139.199,42339,,2,0
60C,133,DSAMP,,139.196,42338,,2,0
61A,134,DSAMP,,119.933,36721,,2,0
61A,135,DSAMP,,119.697,36652,,2,0
62A,136,DSAMP,,119.645,36637,,2,0
62A,137,DSAMP,,119.223,36514,,2,0
63A,138,DSAMP,,121.572,37199,,2,0
63A,139,DSAMP,,120.869,36994,,2,0
64A,140,DSAMP,,115.156,35328,,2,0
64A,141,DSAMP,,114.587,35162,,2,0
65A,142,DSAMP,,111.758,34337,,2,0
65A,143,DSAMP,,110.804,34059,,2,0
66A,144,DSAMP,,112.656,34599,,2,0
66A,145,DSAMP,,111.802,34350,,2,0
67A,146,DSAMP,,111.161,34163,,2,0
67A,147,DSAMP,,110.358,33929,,2,0
68A,148,DSAMP,,111.624,34298,,2,0
68A,149,DSAMP,,111.634,34301,,2,0
69A,150,DSAMP,,108.671,33437,,2,0
69A,151,DSAMP,,108.006,33243,,2,0
70A,152,DSAMP,,110.664,34018,,2,0
70A,153,DSAMP,,110.358,33929,,2,0
DRIFT,154,DRIF,,118.905,71094,,1,0
Baseline,155,BASL,,0,0,,1,0
CCB,156,QUAL,,0,0,,1,0
MDL,157,UNKNOWN,,-0.502,1456,,1,0
CCV,158,QUAL,,58.746,36009,,1,0
61B,159,DSAMP,,128.339,39172,,2,0
61B,160,DSAMP,,128.534,39229,,2,0
62B,161,DSAMP,,127.265,38859,,2,0
62B,162,DSAMP,,128.452,39205,,2,0
63B,163,DSAMP,,132.598,40414,,2,0
63B,164,DSAMP,,131.857,40198,,2,0
64B,165,DSAMP,,126.939,38764,,2,0
64B,166,DSAMP,,126.35,38592,,2,0
65B,167,DSAMP,,122.299,37411,,2,0
65B,168,DSAMP,,121.569,37198,,2,0
66B,169,DSAMP,,123.116,37649,,2,0
66B,170,DSAMP,,122.303,37412,,2,0
67B,171,DSAMP,,120.468,36877,,2,0
67B,172,DSAMP,,119.817,36687,,2,0
68B,173,DSAMP,,120.009,36743,,2,0
68B,174,DSAMP,,118.829,36399,,2,0
DI,175,UNKNOWN,,0,0,,1,0
DI,176,UNKNOWN,,-2.961,22,,1,0
DI,177,UNKNOWN,,-2.983,9,,1,0
DI,178,UNKNOWN,,-2.99,5,,1,0
100,179,DSAMP,,115.313,68999,,1,0
100,180,DSAMP,,116.832,69885,,1,0
100,181,DSAMP,,120.082,71780,,1,0
100,182,DSAMP,,122.652,73279,,1,0
69B,183,DSAMP,,115.081,35306,,2,0
69B,184,DSAMP,,117.224,35931,,2,0
70B,185,DSAMP,,132.968,40522,,2,0
70B,186,DSAMP,,129.35,39467,,2,0
61B,187,DSAMP,,122.56,37487,,2,0
61B,188,DSAMP,,120.18,36793,,2,0
End,189,END ,,0,0,,1,0
