GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,BL1AA,BL1AB,BL1AC,BL1AD,BL1AE,BL1AF,BL1AG,BL1AH,BL1AI,BL1AJ,BL1AK,BL1AL,BL1AAM,BL1ABM,BL1ACM,BL1ADM,BL1AEM,BL1AFM,BL1AGM,BL1AHM,BL1AIM,BL1AJM,BL1AKM,BL1ALM
GIS Join Match Code,Row Source Year,NHGIS Integrated State Name,FIPS State Code,NHGIS Integrated State Code,Year-Specific Area Name,Persons: Male ~ Never married,Persons: Male ~ Now married,Persons: Male ~ Now married--Not separated,Persons: Male ~ Now married--Separated,Persons: Male ~ Widowed,Persons: Male ~ Divorced,Persons: Female ~ Never married,Persons: Female ~ Now married,Persons: Female ~ Now married--Not separated,Persons: Female ~ Now married--Separated,Persons: Female ~ Widowed,Persons: Female ~ Divorced,Margin of error: Persons: Male ~ Never married,Margin of error: Persons: Male ~ Now married,Margin of error: Persons: Male ~ Now married--Not separated,Margin of error: Persons: Male ~ Now married--Separated,Margin of error: Persons: Male ~ Widowed,Margin of error: Persons: Male ~ Divorced,Margin of error: Persons: Female ~ Never married,Margin of error: Persons: Female ~ Now married,Margin of error: Persons: Female ~ Now married--Not separated,Margin of error: Persons: Female ~ Now married--Separated,Margin of error: Persons: Female ~ Widowed,Margin of error: Persons: Female ~ Divorced
"G260","1980","Michigan","26","260","MICHIGAN",1036241,2068339,2008613,59726,82830,196682,879081,2089963,2002455,87508,413981,280854,,,,,,,,,,,,
"G270","1980","Minnesota","27","270","MINNESOTA",484050,932150,918857,13293,35155,66996,410214,934374,916989,17385,185634,90475,,,,,,,,,,,,
"G280","1980","Mississippi","28","280","MISSISSIPPI",252992,556216,536124,20092,27004,40983,214236,565038,534723,30315,144890,58676,,,,,,,,,,,,
"G290","1980","Missouri","29","290","MISSOURI",491365,1165373,1138040,27333,49242,100542,422168,1174065,1134482,39583,275894,146299,,,,,,,,,,,,
"G300","1980","Montana","30","300","MONTANA",86402,186207,183696,2511,6583,17587,61506,186458,183367,3091,33921,20794,,,,,,,,,,,,
"G310","1980","Nebraska","31","310","NEBRASKA",167172,373125,367953,5172,15056,25636,137053,374100,367228,6872,80303,35482,,,,,,,,,,,,
"G320","1980","Nevada","32","320","NEVADA",89691,184894,178336,6558,6270,35470,60392,184078,176240,7838,26519,39614,,,,,,,,,,,,
"G330","1980","New Hampshire","33","330","NEW HAMPSHIRE",99791,214627,210081,4546,8509,19168,87667,215332,209742,5590,42594,25650,,,,,,,,,,,,
"G340","1980","New Jersey","34","340","NEW JERSEY",854155,1691587,1619139,72448,80679,100914,769658,1726694,1612659,114035,399749,163810,,,,,,,,,,,,
"G350","1980","New Mexico","35","350","NEW MEXICO",137871,292133,286358,5775,10459,29423,110764,293302,285094,8208,48908,41587,,,,,,,,,,,,
"G360","1980","New York","36","360","NEW YORK",2186041,3792452,3614923,177529,201244,256746,2048402,3919362,3607648,311714,1002760,424201,,,,,,,,,,,,
"G370","1980","North Carolina","37","370","NORTH CAROLINA",625533,1408894,1341017,67877,52620,86795,508543,1426554,1333444,93110,310104,128731,,,,,,,,,,,,
"G380","1980","North Dakota","38","380","NORTH DAKOTA",81465,152768,151327,1441,5715,8861,57185,152427,150718,1709,29516,9969,,,,,,,,,,,,
