"","location","depth.cm","%N","d15N.permil","%C.total","d13C.total","%C.organic","d13C.organic","n"
"53","South",14,0.238636408138961,7.225,2.98714753216034,-19.49,2.90881345547625,-19.815,2
"54","South",16,0.276912845545268,7.075,3.44126196324051,-20.205,3.71957843157183,-20.3,1
"55","South",18,0.250745526010238,6.435,2.96259713576777,-19.29,2.92908948425543,-19.425,2
"56","South",20,0.27734108342951,6.81,3.4982023225796,-20.11,3.73519952227456,-20.83,1
"57","South",22,0.247599698623561,5.63,3.38893535919765,-20.495,3.25734690087182,-20.1,2
"58","South",24,0.246959201323014,4.96,3.20755709835622,-19.585,3.16670520322455,-19.5,1
"59","South",26,0.246734091829974,5.255,3.16518228741865,-19.555,2.9998300049039,-19.465,2
"60","South",28,0.253015812523164,4.695,3.24789805196238,-19.705,3.22727815166431,-19.45,1
"61","South",30,0.269664208913065,4.915,3.45533931781557,-19.535,4.29237667048797,-20.29,2
"62","South",32,0.281260425786064,3.6,4.43487049073679,-21.08,5.64304022624918,-21.63,1
"63","South",34,0.326882202858429,3.205,5.71473204847675,-21.34,5.11912981021222,-21.495,2
"64","South",36,0.332769760603919,2.905,5.90185157935383,-21.47,NA,NA,1
"65","South",38,0.398166578214876,2.325,7.4491305491383,-21.585,7.31842032587683,-21.43,2
"66","South",40,0.598009359276061,1.605,12.5374132712558,-21.58,NA,NA,1
"67","South",42,0.938280324141719,0.8,20.3729145856475,-22.025,20.497803806735,-21.66,2
"68","South",44,1.91029798423098,0.35,37.4195853200274,-22.22,NA,NA,1
"69","South",46,1.66505502410391,0.29,33.0910451839051,-21.36,NA,NA,1
