"","Location","Depth","%C.org","d13C.org","%N","d15N","%C.total","d13C.total","%C.inorg"
"39","North",14,3.84185186986335,-20.86,0.304696902380991,8.2825,3.83196279350604,-20.8025,-0.00988907635730518
"40","North",16,3.44205111916829,-20.7392115537777,0.278141069348357,8.37785810512748,3.49098050407431,-20.4510823142115,0.0489293849060166
"41","North",18,3.86429258902791,-21.3,0.294198831193248,8.09,3.88362427912674,-21.265,0.0193316900988236
"42","North",20,2.72628917192774,-19.7571300581286,0.239104435010875,7.06178356149055,2.75905179621916,-19.8636121697698,0.0327626242914238
"43","North",22,2.65050934195916,-19.42,0.228373224994843,5.765,2.64185752516325,-19.265,-0.00865181679590465
"44","North",24,2.77753057308707,-18.7243818120281,0.234070550727626,5.72479419828184,2.67926710184873,-18.7086127548118,-0.0982634712383357
"45","North",26,2.88949629051152,-18.88,0.252941246076291,5.125,2.95540435125872,-18.89,0.0659080607472027
"46","North",28,2.93211563203526,-19.5280190424814,0.236402181534657,5.1126577404166,2.88108688368806,-19.4124037121462,-0.0510287483471963
"47","North",30,3.07027391109115,-19.37,0.251992470165126,4.825,3.08893119230708,-19.535,0.0186572812159276
"48","North",32,3.23320302472788,-19.8248755919276,0.254834037348357,4.92067217180634,3.20137135119946,-19.7827504498178,-0.0318316735284259
"49","North",34,3.19192540219285,-19.77,0.263361473343116,4.4925,3.20905804078055,-19.7325,0.0171326385876993
"50","North",36,3.46622122849233,-19.7866153929625,0.269748944274611,4.67020434015078,3.45399826902539,-19.8152612246806,-0.0122229594669361
"51","North",38,3.96693451556294,-20.35,0.289230661733838,4.11,5.77865029686963,-20.165,1.81171578130668
"52","North",40,4.10896374690398,-20.1811047840801,0.28861058335036,3.97852819163985,4.12526085985574,-20.0454248104854,0.0162971129517571
"53","North",42,4.68568665377176,-19.72,0.320314756265762,3.48,8.60986610125605,-19.86,3.92417944748429
"54","North",44,4.50872036568003,-19.6426546996016,0.317368669546466,3.53917491087012,4.49377581378649,-19.7662791661953,-0.0149445518935476
"55","North",46,4.11620188784966,-19.85,0.294064375882307,3.55,6.14222390163109,-19.77,2.02602201378143
"56","North",48,3.84111316868817,-20.1101394265076,0.275380208200803,4.00113232307131,3.85122943071214,-20.2011886647364,0.0101162620239634
"57","North",50,4.22616471945767,-20.76,0.281481770937144,3.5,8.42940735876331,-20.88,4.20324263930565
"58","North",52,4.04659502130492,-20.6404584442714,0.271019171679199,3.87090116439422,3.95862990664906,-20.4294669130298,-0.087965114655856
"59","South",0,7.54358080553599,-22.9064816408236,0.578313555706806,8.39158343929346,6.81506981002094,-21.7737162682354,-0.728510995515051
"60","South",1,4.80551353023724,-20.4440863098592,0.426905515987662,8.14392517933663,4.84618109547827,-20.7097601107787,0.0406675652410282
