"location","depth.cm","%N","d15N.permil","%C.total","d13C.total","%C.organic","d13C.organic","P.pct.inorg","P.pct.total","P.pct.org","SiO2.mg","SiO2.prct","water.percent","bulk.density.gcm3","median.grainsize.um","mean.phi","sd.phi","skewness.phi","kurtosis.phi","thickness.cm","accretion.rate.cmyr","year.mean","end.pb","below_pb_LOD","N.P.ratio","C.N.ratio","Si.P.ratio","Si.N.ratio","C.P.ratio","P.total.pct.e2","accretion.rate.gcm2yr","outlier"
"North",34,0.263361473343116,4.4925,3.20905804078055,-19.7325,3.19192540219285,-19.77,0.009468708,0.021066635,0.011597927,241.911919733333,7.74626469687538,49.89,0.57,19.9,6.338,2.904,0.184,0.584,2,0.16,1818.9,38,FALSE,12.5013545515511,12.1199405580265,367.702990860922,29.4130519492625,151.515674059614,2.1066635,0.0912,FALSE
"North",36,0.269748944274611,4.67020434015078,3.45399826902539,-19.8152612246806,3.46622122849233,-19.7866153929625,0.013112011,0.020264461,0.00715245,242.731210666667,8.02339542507288,50.9,0.58,20.3,6.352,2.862,0.209,0.574,2,0.161290322580644,1806.5,38,FALSE,13.3114295156733,12.8498046130021,395.934312048708,29.7439363355019,171.049268396151,2.0264461,0.0935483870967735,FALSE
"North",38,0.289230661733838,4.11,5.77865029686963,-20.165,3.96693451556294,-20.35,0.011043159,0.019825389,0.00878223,251.113171733333,7.94245428078021,52.35,0.5,29,6.11,2.915,0.327,1.344,2,0.161290322580644,1794.1,38,FALSE,14.5889022270301,13.715470177963,400.620350036018,27.4606234109757,200.093653424049,1.9825389,0.080645161290322,FALSE
"North",40,0.28861058335036,3.97852819163985,4.12526085985574,-20.0454248104854,4.10896374690398,-20.1811047840801,0.014592597,0.020127385,0.005534787,196.077088,6.44069544231893,49.41,0.6,27.1,5.957,3.182,0.183,1.055,2,0.16,1781.6,38,TRUE,14.3391992228678,14.237051528758,319.996633557659,22.316213659082,204.147918217095,2.0127385,0.096,FALSE
"North",42,0.320314756265762,3.48,8.60986610125605,-19.86,4.68568665377176,-19.72,0.011062867,0.017985497,0.00692263,194.807998133333,6.36151328923676,50.87,0.55,26.5,5.96,3.175,0.185,1.089,2,0.16,1769.1,38,TRUE,17.8096138386258,14.6283821213784,353.702390833946,19.8601942770276,260.525836665607,1.7985497,0.088,FALSE
"North",44,0.317368669546466,3.53917491087012,4.49377581378649,-19.7662791661953,4.50872036568003,-19.6426546996016,0.009361721,0.018617605,0.009255883,180.8882632,6.00254462076302,50.45,0.57,26.4,6.005,3.123,0.209,1.28,2,0.162601626016261,1756.8,38,TRUE,17.0466969057764,14.2065704599108,322.412287765425,18.9134757042682,242.175100700656,1.8617605,0.0926829268292686,FALSE
"North",46,0.294064375882307,3.55,6.1422239016311,-19.77,4.11620188784966,-19.85,0.010469799,0.022964468,0.012494669,196.0194112,6.59754126392513,49.67,0.57,24.1,6.11,3.058,0.196,0.876,2,0.161290322580647,1744.4,38,TRUE,12.8051899953575,13.9976216959278,287.293451079517,22.4357038969102,179.242205299494,2.2964468,0.0919354838709687,FALSE
"North",48,0.275380208200803,4.00113232307131,3.85122943071214,-20.2011886647364,3.84111316868817,-20.1101394265076,0.011368563,0.020659994,0.00929143,207.596626933333,6.02446298095331,48.62,0.54,23.4,6.136,3.063,0.175,0.652,2,0.161290322580644,1732,38,TRUE,13.329152380238,13.9483995374399,291.600422582567,21.8768916630362,185.920342894977,2.0659994,0.0870967741935478,FALSE
"North",50,0.281481770937144,3.5,8.42940735876331,-20.88,4.22616471945767,-20.76,0.009508236,0.016077868,0.006569631,204.298234933333,5.51015347167173,49.16,0.53,25.3,6.039,3.111,0.194,1.091,2,0.162601626016261,1719.7,38,TRUE,17.5074065129247,15.0139908008515,342.716675598514,19.5755250982209,262.856040331819,1.6077868,0.0861788617886182,FALSE
"North",52,0.271019171679199,3.87090116439422,3.95862990664906,-20.4294669130298,4.04659502130492,-20.6404584442714,0.01118473,0.014902546,0.003717816,202.131149333333,4.55749922989218,49.58,NA,27.1,6.024,3.103,0.217,1.304,2,NA,NA,38,TRUE,18.1860986491301,14.9310286657315,305.820175283618,16.8161506865161,271.537160247981,1.4902546,NA,FALSE
"Middle",0,0.655493586700345,8.63831983509779,7.32971172773204,-21.9965870446638,7.46634400851393,-21.8087979232571,NA,0.026545777,NA,58.5555701333333,1.90825632958953,66.87,NA,86.1,3.726,2.307,0.276,1.397,NA,NA,NA,38,FALSE,24.6929516020701,11.3904150399066,71.8854953686052,2.91117467555312,281.262967307905,2.6545777,NA,FALSE
"Middle",1,0.575813010571793,8.69621887519707,5.85254603462547,-20.4161870723246,5.87922299139839,-20.2425989564078,0.009865197,0.023487397,0.0136222,364.515173066667,12.3250745665189,65.14,0.29,64.2,4.102,2.179,0.256,1.334,NA,NA,NA,38,FALSE,24.5158290879058,10.2102989745928,524.752681896549,21.4046475856458,250.313944597538,2.3487397,NA,FALSE
"Middle",2,0.514470851936683,8.25,5.48264360372624,-20.0375,5.34306723800455,-19.91,0.010174725,0.024415998,0.014241273,355.823599733333,11.4549031842357,65.01,0.31,67.3,4.081,2.204,0.285,1.291,2,NA,2013.9,38,FALSE,21.0710556224932,10.3855587112293,469.155640667882,22.2654075369182,218.83468527498,2.4415998,NA,FALSE
"Middle",3,0.482474513413755,8.295,7.38683212084855,-19.87,4.98473494310297,-19.82,0.009563958,0.022615719,0.013051761,320.1374816,10.156165965545,63.9,0.29,63.9,4.193,2.172,0.257,1.306,1,0.172413793103443,2008.1,38,FALSE,21.3335916233198,10.3316026121948,449.075528642046,21.0501605435795,220.410190942988,2.2615719,0.0499999999999984,FALSE
"Middle",4,0.480518003251878,8.81947019120594,5.0844791670847,-20.0865800245868,5.29643732563225,-20.2287412421976,0.01079452,0.023680688,0.012886168,314.405649333333,10.5747456165878,64.14,0.29,56.6,4.258,2.184,0.243,1.279,1,0.163934426229511,2002,38,FALSE,20.2915558556355,11.0223494016643,446.555675096426,22.0069706962566,223.660618544201,2.3680688,0.0475409836065581,FALSE
"Middle",6,0.464325056458908,8.21,7.02497528942887,-20.05,4.95712906706036,-20.03,0.011377157,0.026538591,0.015161434,265.706603733333,8.95684964063884,63.35,0.3,63.9,4.168,2.24,0.277,1.221,2,0.327868852459021,1995.9,38,FALSE,17.4962211241323,10.6759887240741,337.502832785615,19.2900415690392,186.789459435143,2.6538591,0.0983606557377064,FALSE
"Middle",8,0.468720707174958,8.61127023802122,5.01493600157764,-20.2363269136876,4.94959277187896,-19.9078084196239,0.011458808,0.025085936,0.013627127,263.7836432,8.45304582377877,61.9,0.34,58.9,4.269,2.175,0.275,1.225,2,0.259740259740258,1988.2,38,FALSE,18.6846010918213,10.5597911423859,336.963540996787,18.0342914114599,197.305485108427,2.5085936,0.0883116883116878,FALSE
"Middle",10,0.444864836978893,8.1,9.53840607275492,-20.19,4.77373068432671,-20.01,0.011844836,0.025902769,0.014057933,282.415252266667,9.44960273392992,60.75,0.35,57.8,4.362,2.177,0.268,1.21,2,0.194174757281554,1977.9,38,FALSE,17.1744123950182,10.7307440092263,364.810524076786,21.2415141599026,184.294222919824,2.5902769,0.067961165048544,FALSE
"Middle",12,0.415436443877482,8.5726869611582,4.65468725989309,-20.5681126365251,4.78682891497381,-19.9125914364386,0.015518,0.030337681,0.014819681,288.907697333333,9.10274336110001,59.64,0.34,65.4,4.222,2.275,0.29,1.18,2,0.161290322580644,1965.5,38,FALSE,13.6937442211711,11.522409710366,300.047434775915,21.911277874756,157.78493138529,3.0337681,0.054838709677419,FALSE
"Middle",14,0.364705558851378,8.315,6.38855971947716,-20.54,4.57290001775884,-20.24,0.013832703,0.030077067,0.016244364,264.124697333333,8.78356331590221,58.14,0.37,63.3,4.239,2.263,0.277,1.213,2,0.148148148148148,1952,38,FALSE,12.1257022452149,12.5386079448883,292.035234549373,24.0839852936862,152.039426509202,3.0077067,0.0548148148148148,FALSE
"Middle",16,0.376220731487446,8.65873438495566,4.62464150068491,-21.0124517820564,4.47199738789078,-20.7121924751328,0.013465512,0.025146107,0.011680595,238.670002933333,8.06958706683049,57.58,0.4,56.3,4.346,2.313,0.197,1.174,2,0.16,1939.5,38,FALSE,14.9613907030399,11.8866320051265,320.908006429405,21.4490760116439,177.840545571956,2.5146107,0.064,FALSE
"Middle",18,0.333383811359399,8.2025,6.16019835972184,-20.92,4.30640888337749,-21,0.016749629,0.031011083,0.014261455,234.627820533333,6.96592694886547,56.31,0.43,37.3,5.844,3.104,0.321,1.233,2,0.173913043478261,1928,38,FALSE,10.7504730279623,12.9172705351761,224.627013150926,20.8946166895787,138.866768483303,3.1011083,0.0747826086956522,FALSE
"Middle",20,0.290219360636102,8.54652017230014,4.1406133650512,-21.025289885722,3.90802847363851,-21.2795932975799,0.013239503,0.02414218,0.010902677,205.5835464,6.80971122649858,52.59,0.49,36,5.783,3.161,0.302,1.167,2,0.142857142857143,1914,38,FALSE,12.0212574272954,13.4657745268024,282.06695611161,23.464014294474,161.875542044609,2.414218,0.07,FALSE
"Middle",22,0.229146623957665,7.925,11.1393520866159,-20.685,6.26017915309446,-20.83,0.020377536,0.038541666,0.01816413,148.550002933333,4.89114187751751,46.17,0.53,57.2,4.476,2.739,0.195,1.116,2,0.147058823529413,1900.4,38,FALSE,5.94542602174137,27.3195347370732,126.905304963141,21.3450313735417,162.426272727662,3.8541666,0.0779411764705888,FALSE
