"location","depth.cm","%N","d15N.permil","%C.total","d13C.total","%C.organic","d13C.organic","P.pct.inorg","P.pct.total","P.pct.org","SiO2.mg","SiO2.prct","water.percent","bulk.density.gcm3","median.grainsize.um","clay.pct","pebbles.pct","sand.pct","silt.pct","skewness.um","kurtosis.um","mean.phi","sd.phi","year.min","year.max","year.median","year.mean","end.pb","cs.peak","n.years","n.cm","accretion.rate.cmyr","century","outlier","N.P.ratio","C.N.ratio","Si.P.ratio","Si.N.ratio","C.P.ratio","P.total.pct.e2","N.storage","median.grainsize.phi","accretion.rate.gcm2yr","cluster"
"Middle",20,0.290219360636102,8.54652017230014,4.1406133650512,-21.025289885722,3.90802847363851,-21.2795932975799,0.013239503,0.02414218,0.010902677,205.5835464,6.80971122649858,52.59,0.49,36,1.71222222222222,0,35.17,63.1177777777778,0.286,1.139,5.19513835872378,1.8957481683357,1886.3,1936,1913.8,1913.5,NA,NA,7.09999999999991,1,0.140845070422537,"1900",FALSE,12.0212574272954,13.4657745268024,282.06695611161,23.464014294474,161.875542044609,2.414218,0.0341297968108056,5.16992500144231,0.0690140845070431,"2"
"Middle",22,0.229146623957665,7.925,11.1393520866159,-20.685,6.26017915309446,-20.83,0.020377536,0.038541666,0.01816413,148.550002933333,4.89114187751751,46.17,0.53,57.2,1.20222222222222,0.02,45.5077777777778,53.2644444444445,0.325,1.096,5.68898376066257,2.07956996968899,1870.8,1925.6,1900.8,1900.3,NA,NA,6.60000000000014,1,0.151515151515148,"1900",FALSE,5.94542602174137,27.3195347370732,126.905304963141,21.3450313735417,162.426272727662,3.8541666,0.029147450567415,5.83794324189103,0.0803030303030286,"1"
"Middle",24,0.230654533502427,8.04853130755859,3.0421792988179,-20.2547229925666,3.06795162500999,-20.7162298389304,0.010553906,0.019053984,0.008500078,177.038737333333,5.91433084165236,46.49,0.64,48,1.93666666666667,0.16,41.2108333333333,56.6966666666667,0.257,1.041,5.47853758679275,2.14490268170818,1854,1913.1,1887.7,1886.7,NA,NA,6.70000000000005,1,0.149253731343283,"1900",FALSE,12.1053178958493,13.3010679583183,310.398646375076,25.6415113626637,161.013655989739,1.9053984,0.0354285363459727,5.58496250072116,0.0955223880597008,"2"
"Middle",26,0.201126752252012,7.165,3.09381483631612,-19.67,2.90988885178648,-20.18,0.009541435,0.019729113,0.010187678,174.899689066667,5.76197539690007,44.81,0.63,39.1,1.94777777777778,0,37.7688888888889,60.2877777777778,0.248,1.103,5.32974256798547,2.05701034676509,1840,1902.6,1874.4,1873.9,NA,NA,6.29999999999995,1,0.15873015873016,"1900",FALSE,10.1944143283082,14.4679353651591,292.054457638317,28.6484782973092,147.492127587615,1.9729113,0.0304103649405043,5.28909670241999,0.100000000000001,"2"
"Middle",28,0.240071685680169,7.71494168466061,3.09325806533115,-20.2573126615712,2.84176050220042,-19.6866332336781,0.007469948,0.016004253,0.008534306,191.0628112,6.25151335405282,47.24,0.62,32.2,2.46222222222222,0,35.44,62.0933333333333,0.202,0.606,5.16417769596164,2.07335924908315,1827.2,1891.7,1861.3,1861,NA,NA,6.40000000000009,1,0.156249999999998,"1900",FALSE,15.0004930364553,11.8371331219222,390.61575407817,26.0401943542034,177.562832966988,1.6004253,0.0357226668292091,5.00898878322726,0.0968749999999986,"2"
"Middle",30,0.215106527774155,6.41,3.06614150881597,-16.75,3.07267200884222,-17.83,0.007930803,0.015332904,0.007402101,216.968005466667,7.22156425322902,46.92,0.71,31.9,3.6475,0,34.4566666666667,61.9,0.15,0.535,5.07132906556973,2.16839560072085,1813.3,1879.2,1848.4,1847.7,NA,NA,6.59999999999991,1,0.151515151515154,"1800",FALSE,14.0290794081901,14.2844200993672,470.984769305868,33.5720367389831,200.397263873968,1.5332904,0.036654152332716,4.99548451887751,0.107575757575759,"3"
"Middle",32,0.218510567548689,6.89001085940903,2.69795362336115,-18.7625346316081,2.42534830830117,-18.9635741914558,0.007964292,0.02826733,0.020303038,193.71546336,6.10001883550783,44.45,0.67,32.3,3.43333333333333,0,35.92,60.6388888888889,0.186,0.525,5.11895129690738,2.13175357297162,1801.1,1866.6,1835,1834.5,NA,NA,6.59999999999991,1,0.151515151515154,"1800",FALSE,7.7301452789736,11.099455442862,215.797489027362,27.9163561924693,85.8004030908178,2.826733,0.0351364992618292,5.01346225980656,0.101515151515153,"2"
"Middle",34,0.193944709432224,6.275,3.22096947253378,-14.165,3.09233867101352,-14.03,0.007792325,0.016270969,0.008478645,209.628933066667,7.00619457217524,46.04,0.67,29.6,3.72777777777778,0,35.2788888888889,60.9877777777778,0.141,0.524,5.12171938670562,2.20442544765672,1787.2,1853.2,1821.2,1821,NA,NA,6.79999999999995,1,0.147058823529413,"1800",FALSE,11.9196778896342,15.9444342672012,430.59479568643,36.1247006566252,190.052520597484,1.6270969,0.0311863092767016,4.88752527074159,0.0985294117647065,"3"
"Middle",36,0.228495835353449,6.59678968732393,2.5943299292856,-18.6040061954391,2.58279028183227,-18.8370534177047,0.007806183,0.014419733,0.00661355,123.046844,4.07634946238213,43.71,0.68,37.9,3.58466666666667,0.218666666666667,35.702,60.4893333333333,0.107,0.529,5.19745663709972,2.31906954558687,1775.2,1840.6,1807.9,1807.6,NA,NA,6.70000000000005,1,0.149253731343283,"1800",FALSE,15.8460517509894,11.3034457623137,282.692436980777,17.8399289250792,179.114986514124,1.4419733,0.0372905203296829,5.24412594328373,0.101492537313432,"3"
"Middle",38,0.195476392668562,5.91,2.95078280800675,-15.2375,2.91670999272122,-15.63,0.007295382,0.017251717,0.009956335,195.6078632,6.31252070989154,43.58,0.74,29.2,3.99222222222222,0,35.0588888888889,60.9533333333333,0.097,0.536,5.13055743740462,2.29836282354065,1762.9,1827,1794.3,1794.2,TRUE,NA,6.70000000000005,1,0.149253731343283,"1800",FALSE,11.330836963565,14.9210344681704,365.906808573984,32.2930079878989,169.067808886572,1.7251717,0.0347166073379366,4.86789646399265,0.110447761194029,"3"
