GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,AT5AA,AT5AB,AT5AAM,AT5ABM
GIS Join Match Code,Row Source Year,NHGIS Integrated State Name,FIPS State Code,NHGIS Integrated State Code,Year-Specific Area Name,Persons: Native,Persons: Foreign born,Margin of error: Persons: Native,Margin of error: Persons: Foreign born
"G490","2008-2012","Utah","49","490","Utah",2537344,228889,3874,3874
"G500","2008-2012","Vermont","50","500","Vermont",600213,25285,885,885
"G510","2008-2012","Virginia","51","510","Virginia",7121778,893177,6612,6612
"G530","2008-2012","Washington","53","530","Washington",5861833,876881,7243,7243
"G540","2008-2012","West Virginia","54","540","West Virginia",1825250,25231,1256,1256
"G550","2008-2012","Wisconsin","55","550","Wisconsin",5422799,264420,3242,3242
"G560","2008-2012","Wyoming","56","560","Wyoming",544823,17980,1114,1114
"G010","2015-2019","Alabama","01","010","Alabama",4703303,172947,3133,3133
"G020","2015-2019","Alaska","02","020","Alaska",679401,57667,1813,1813
"G040","2015-2019","Arizona","04","040","Arizona",6109648,940651,8121,8121
"G050","2015-2019","Arkansas","05","050","Arkansas",2854323,145047,2554,2554
"G060","2015-2019","California","06","060","California",28736287,10547210,36592,36592
"G080","2015-2019","Colorado","08","080","Colorado",5063836,546513,7054,7055
"G090","2015-2019","Connecticut","09","090","Connecticut",3054123,520951,5745,5745
"G100","2015-2019","Delaware","10","100","Delaware",865775,91473,2689,2689
"G110","2015-2019","District Of Columbia","11","110","District of Columbia",597618,95065,3020,3020
"G120","2015-2019","Florida","12","120","Florida",16576836,4324800,20225,20225
"G130","2015-2019","Georgia","13","130","Georgia",9349973,1053874,9172,9174
"G150","2015-2019","Hawaii","15","150","Hawaii",1159655,262439,4172,4172
"G160","2015-2019","Idaho","16","160","Idaho",1615307,102443,2482,2482
"G170","2015-2019","Illinois","17","170","Illinois",10973669,1796962,11086,11086
"G180","2015-2019","Indiana","18","180","Indiana",6315781,349922,4867,4867
"G190","2015-2019","Iowa","19","190","Iowa",2973069,166439,3298,3298
"G200","2015-2019","Kansas","20","200","Kansas",2702807,207845,3362,3367
"G210","2015-2019","Kentucky","21","210","Kentucky",4277073,171979,3045,3045
"G220","2015-2019","Louisiana","22","220","Louisiana",4470156,194206,3504,3504
"G230","2015-2019","Maine","23","230","Maine",1287554,47938,1677,1677
"G240","2015-2019","Maryland","24","240","Maryland",5105961,912887,7339,7339
"G250","2015-2019","Massachusetts","25","250","Massachusetts",5701644,1148909,9328,9328
"G260","2015-2019","Michigan","26","260","Michigan",9281068,684197,6638,6639
"G270","2015-2019","Minnesota","27","270","Minnesota",5090529,472849,5479,5480
"G280","2015-2019","Mississippi","28","280","Mississippi",2913949,70469,2271,2271
"G290","2015-2019","Missouri","29","290","Missouri",5849191,255719,4042,4042
"G300","2015-2019","Montana","30","300","Montana",1027601,23048,1298,1298
"G310","2015-2019","Nebraska","31","310","Nebraska",1776672,137899,2610,2610
"G320","2015-2019","Nevada","32","320","Nevada",2395653,576729,5399,5399
"G330","2015-2019","New Hampshire","33","330","New Hampshire",1265430,82694,2043,2043
"G340","2015-2019","New Jersey","34","340","New Jersey",6886476,1992027,11424,11424
"G350","2015-2019","New Mexico","35","350","New Mexico",1895290,197164,4635,4635
"G360","2015-2019","New York","36","360","New York",15152673,4419646,18614,18614
"G370","2015-2019","North Carolina","37","370","North Carolina",9442112,822764,7421,7421
"G380","2015-2019","North Dakota","38","380","North Dakota",725923,30794,1388,1388
"G390","2015-2019","Ohio","39","390","Ohio",11120345,535052,6716,6716
"G400","2015-2019","Oklahoma","40","400","Oklahoma",3696501,236369,3022,3022
"G410","2015-2019","Oregon","41","410","Oregon",3722160,407643,4958,4958
"G420","2015-2019","Pennsylvania","42","420","Pennsylvania",11909180,882350,8058,8058
"G440","2015-2019","Rhode Island","44","440","Rhode Island",913513,143718,2794,2794
"G450","2015-2019","South Carolina","45","450","South Carolina",4768192,252614,4029,4029
"G460","2015-2019","South Dakota","46","460","South Dakota",838627,32011,1337,1337
"G470","2015-2019","Tennessee","47","470","Tennessee",6365194,344162,4960,4960
"G480","2015-2019","Texas","48","480","Texas",23446218,4814638,22758,22758
"G490","2015-2019","Utah","49","490","Utah",2834997,261851,3885,3885
"G500","2015-2019","Vermont","50","500","Vermont",594985,29328,1079,1079
"G510","2015-2019","Virginia","51","510","Virginia",7402904,1051559,9289,9290
"G530","2015-2019","Washington","53","530","Washington",6347573,1056534,8351,8351
"G540","2015-2019","West Virginia","54","540","West Virginia",1787134,30171,1372,1372
"G550","2015-2019","Wisconsin","55","550","Wisconsin",5500994,289722,4509,4509
"G560","2015-2019","Wyoming","56","560","Wyoming",561042,19982,1184,1184
